"repo-maven",,"maven-2-default","maven","hellomdk","proxy-repo-maven168624249796114272","http://maven.aliyun.com/nexus/content/groups/public/",,
"repo-maven",,"maven-2-default","maven","hellomdk","proxy-repo-maven168624249796172700","https://mirrors.huaweicloud.com/repository/maven/",,
"mdk-npm","这是一个npm","npm-default","npm","hellomdk","proxy-mdk-npm168624255980543853","https://registry.npmmirror.com/",,
"mdk-generic","这是一个通用仓库","simple-default","generic","hellomdk",,,,
"mdk-docker",,"simple-default","docker","hellomdk",,,,
"mdk-helm","这是一个helm","simple-default","helm","hellomdk",,,,
